recordID,Trial,X_error,Y_error,Radial_Error,Phase,Condition,Hit_binary
C001,1,-18.9,41.54,45.6,Baseline,RL,0
C001,2,100,100,141.4,Baseline,RL,0
C001,3,-15.25,70.5,72.1,Baseline,RL,0
C001,4,-35.93,2.52,36,Baseline,RL,1
C001,5,10.24,65.92,66.7,Baseline,RL,0
C001,6,-27.8,-46.12,53.9,Baseline,RL,0
C001,7,-48.94,4.81,49.2,Baseline,RL,1
C001,8,-34.88,-31.77,47.2,Baseline,RL,0
C001,9,-23.98,2.41,24.1,Baseline,RL,1
C001,10,-46.26,28.55,54.4,Baseline,RL,0
C001,11,5.89,28.44,29,Baseline,RL,0
C001,12,-9.74,-5.86,11.4,Baseline,RL,1
C001,13,-41.59,-24.44,48.2,Baseline,RL,1
C001,14,-15.23,-58.2,60.2,Baseline,RL,0
C001,15,-20.04,98.06,100.1,Baseline,RL,0
C001,16,-35.99,-66.03,75.2,Baseline,RL,0
C001,17,14.73,3.51,15.1,Baseline,RL,1
C001,18,23.77,-14.84,28,Baseline,RL,1
C001,19,-4.93,-70.47,70.6,Baseline,RL,0
C001,20,100,100,141.4,Baseline,RL,0
C001,21,-0.88,-26.06,26.1,Baseline,RL,0
C001,22,-32.67,17.86,37.2,Baseline,RL,1
C001,23,29.28,26.12,39.2,Baseline,RL,0
C001,24,-30.07,91.74,96.5,Baseline,RL,0
C001,25,19.4,59.22,62.3,Baseline,RL,0
C001,26,-52.53,76.84,93.1,Baseline,RL,0
C001,27,3.35,65.02,65.1,Baseline,RL,0
C001,28,-19.72,6.75,20.8,Baseline,RL,1
C001,29,-14.23,73.48,74.8,Baseline,RL,0
C001,30,-39.17,-17.71,43,Baseline,RL,1
C001,31,-17.47,3.19,17.8,Baseline,RL,1
C001,32,-10,26.87,28.7,Baseline,RL,0
C001,33,27.74,-39.97,48.7,Baseline,RL,0
C001,34,100,100,141.4,Baseline,RL,0
C001,35,100,100,141.4,Baseline,RL,0
C001,36,-1.63,44.73,44.8,Baseline,RL,0
C001,37,-21.73,41.6,46.9,Baseline,RL,0
C001,38,9.25,59.28,60,Baseline,RL,0
C001,39,-25.2,60.84,65.9,Baseline,RL,0
C001,40,-8.43,11.28,14.1,Baseline,RL,1
C001,41,30.07,7.16,30.9,Baseline,RL,1
C001,42,-32.29,18.96,37.4,Baseline,RL,1
C001,43,-11.14,98.96,99.6,Baseline,RL,0
C001,44,11.4,95.48,96.2,Baseline,RL,0
C001,45,-12.72,-52.35,53.9,Baseline,RL,0
C001,46,-12.51,16.75,20.9,Baseline,RL,1
C001,47,-0.9,9.04,9.1,Baseline,RL,1
C001,48,-25.4,-10.84,27.6,Baseline,RL,1
C001,49,-31.5,-39.33,50.4,Baseline,RL,0
C001,50,-47.08,-88,99.8,Baseline,RL,0
C001,51,-33.69,63.07,71.5,Baseline,RL,0
C001,52,-25.29,68.67,73.2,Baseline,RL,0
C001,53,-23.13,14.35,27.2,Baseline,RL,1
C001,54,-9.3,-22.93,24.7,Baseline,RL,1
C001,55,-20.68,0.93,20.7,Baseline,RL,1
C001,56,1.55,-18.41,18.5,Baseline,RL,1
C001,57,3.91,-30.73,31,Baseline,RL,0
C001,58,9.33,-78.32,78.9,Baseline,RL,0
C001,59,-47.83,67.02,82.3,Baseline,RL,0
C001,60,-27.3,20.93,34.4,Baseline,RL,1
C001,61,-4.11,34.38,34.6,Baseline,RL,0
C001,62,18.23,92.03,93.8,Baseline,RL,0
C001,63,-24.35,14.35,28.3,Baseline,RL,1
C001,64,-27.74,80.67,85.3,Baseline,RL,0
C001,65,28.29,33.42,43.8,Baseline,RL,0
C001,66,-39.43,-51.62,65,Baseline,RL,0
C001,67,-19.1,-63.34,66.2,Baseline,RL,0
C001,68,13.94,-12.49,18.7,Baseline,RL,1
C001,69,24.41,-23.45,33.8,Baseline,RL,1
C001,70,-0.79,-63.31,63.3,Baseline,RL,0
C001,71,-4.05,-50.93,51.1,Baseline,RL,0
C001,72,-41.53,14.49,44,Baseline,RL,1
C001,73,-2.25,78.7,78.7,Baseline,RL,0
C001,74,-40.6,40,57,Baseline,RL,0
C001,75,-28.23,63.31,69.3,Baseline,RL,0
C001,76,-5.8,-42.99,43.4,Baseline,RL,0
C001,77,-13.88,-64.09,65.6,Baseline,RL,0
C001,78,-2.3,-40.47,40.5,Baseline,RL,0
C001,79,-39.11,24.2,46,Baseline,RL,1
C001,80,-30.89,-25.97,40.4,Baseline,RL,0
C001,81,-13.94,38.09,40.6,Baseline,RL,0
C001,82,-39.99,92.9,101.1,Baseline,RL,0
C001,83,15.63,42.81,45.6,Baseline,RL,0
C001,84,17,25.62,30.7,Baseline,RL,0
C001,85,-39.05,-69.31,79.6,Baseline,RL,0
C001,86,-2.13,45.28,45.3,Baseline,RL,0
C001,87,10.32,-46,47.1,Baseline,RL,0
C001,88,3.7,-16.15,16.6,Baseline,RL,1
C001,89,-34.91,62.18,71.3,Baseline,RL,0
C001,90,-17.82,-25.02,30.7,Baseline,RL,0
C001,91,-3,54.18,54.3,Baseline,RL,0
C001,92,-11.64,52.58,53.9,Baseline,RL,0
C001,93,-13.91,-35.16,37.8,Baseline,RL,0
C001,94,-44.57,-69.71,82.7,Baseline,RL,0
C001,95,-25.08,-64.23,69,Baseline,RL,0
C001,96,-37.04,-3.39,37.2,Baseline,RL,1
C001,97,-11.64,94.9,95.6,Baseline,RL,0
C001,98,7.9,-11.36,13.8,Baseline,RL,1
C001,99,-8.87,27.28,28.7,Baseline,RL,0
C001,100,19.05,-77.86,80.2,Baseline,RL,0
C002,1,-62.18,-94.49,113.1,Baseline,RL,0
C002,2,80.49,99.14,127.7,Baseline,RL,0
C002,3,-31.72,40.14,51.2,Baseline,RL,0
C002,4,100,100,141.4,Baseline,RL,0
C002,5,100,100,141.4,Baseline,RL,0
C002,6,14.81,42.75,45.2,Baseline,RL,0
C002,7,-13.44,-99.98,100.9,Baseline,RL,0
C002,8,6.95,-99.84,100.1,Baseline,RL,0
C002,9,21.79,95.36,97.8,Baseline,RL,0
C002,10,53.92,96.44,110.5,Baseline,RL,0
C002,11,100,100,141.4,Baseline,RL,0
C002,12,100,100,141.4,Baseline,RL,0
C002,13,-93.14,-57.17,109.3,Baseline,RL,0
C002,14,12,-0.49,12,Baseline,RL,1
C002,15,100,100,141.4,Baseline,RL,0
C002,16,23.74,-22.99,33,Baseline,RL,1
C002,17,100,100,141.4,Baseline,RL,0
C002,18,100,100,141.4,Baseline,RL,0
C002,19,8.62,-24.62,26.1,Baseline,RL,1
C002,20,100,100,141.4,Baseline,RL,0
C002,21,-76.05,-11.48,76.9,Baseline,RL,1
C002,22,29.85,74.7,80.4,Baseline,RL,0
C002,23,-0.35,27.96,28,Baseline,RL,0
C002,24,100,100,141.4,Baseline,RL,0
C002,25,100,100,141.4,Baseline,RL,0
C002,26,-54.21,-22.82,58.8,Baseline,RL,1
C002,27,68.75,76.5,102.9,Baseline,RL,0
C002,28,100,100,141.4,Baseline,RL,0
C002,29,29.76,-19.82,35.8,Baseline,RL,1
C002,30,100,100,141.4,Baseline,RL,0
C002,31,-47.9,60.14,76.9,Baseline,RL,0
C002,32,100,100,141.4,Baseline,RL,0
C002,33,-60.84,63.88,88.2,Baseline,RL,0
C002,34,38.26,43.6,58,Baseline,RL,0
C002,35,-29.12,78.94,84.1,Baseline,RL,0
C002,36,100,100,141.4,Baseline,RL,0
C002,37,100,100,141.4,Baseline,RL,0
C002,38,100,100,141.4,Baseline,RL,0
C002,39,36.51,-6.51,37.1,Baseline,RL,1
C002,40,37.33,9.01,38.4,Baseline,RL,1
C002,41,100,100,141.4,Baseline,RL,0
C002,42,-98.31,-6.16,98.5,Baseline,RL,1
C002,43,21,-9.04,22.9,Baseline,RL,1
C002,44,52.02,-30.02,60.1,Baseline,RL,0
C002,45,-38.64,-82.23,90.9,Baseline,RL,0
C002,46,4.41,88.3,88.4,Baseline,RL,0
C002,47,100,100,141.4,Baseline,RL,0
C002,48,-83.18,47.84,96,Baseline,RL,0
C002,49,100,100,141.4,Baseline,RL,0
C002,50,100,100,141.4,Baseline,RL,0
C002,51,11.3,-21.68,24.4,Baseline,RL,1
C002,52,28.74,44.27,52.8,Baseline,RL,0
C002,53,23.57,32.41,40.1,Baseline,RL,0
C002,54,-14.75,-34.97,38,Baseline,RL,0
C002,55,100,100,141.4,Baseline,RL,0
C002,56,100,100,141.4,Baseline,RL,0
C002,57,100,100,141.4,Baseline,RL,0
C002,58,-33.88,4.77,34.2,Baseline,RL,1
C002,59,7.01,3.6,7.9,Baseline,RL,1
C002,60,100,100,141.4,Baseline,RL,0
C002,61,-0.06,-10.17,10.2,Baseline,RL,1
C002,62,58.12,-31.86,66.3,Baseline,RL,0
C002,63,21.29,10.03,23.5,Baseline,RL,1
C002,64,54.67,-59.23,80.6,Baseline,RL,0
C002,65,-31.46,58.3,66.2,Baseline,RL,0
C002,66,20.62,56.39,60,Baseline,RL,0
C002,67,18.75,43.22,47.1,Baseline,RL,0
C002,68,28.04,97.43,101.4,Baseline,RL,0
C002,69,-88.15,40.37,97,Baseline,RL,0
C002,70,3.21,-87.11,87.2,Baseline,RL,0
C002,71,-21.35,-15.4,26.3,Baseline,RL,1
C002,72,23.8,-74.17,77.9,Baseline,RL,0
C002,73,-13.99,80.07,81.3,Baseline,RL,0
C002,74,67.82,-2.09,67.9,Baseline,RL,1
C002,75,16.3,15.84,22.7,Baseline,RL,1
C002,76,21.38,-33.05,39.4,Baseline,RL,0
C002,77,100,100,141.4,Baseline,RL,0
C002,78,-6.1,-62.66,63,Baseline,RL,0
C002,79,4.35,55.22,55.4,Baseline,RL,0
C002,80,-30.49,-90.6,95.6,Baseline,RL,0
C002,81,100,100,141.4,Baseline,RL,0
C002,82,-7.56,-1.57,7.7,Baseline,RL,1
C002,83,13.93,23.98,27.7,Baseline,RL,1
C002,84,-22.58,-93.56,96.2,Baseline,RL,0
C002,85,-4.97,48.8,49.1,Baseline,RL,0
C002,86,5.2,15.38,16.2,Baseline,RL,1
C002,87,-16.33,-48.71,51.4,Baseline,RL,0
C002,88,38.23,-98.33,105.5,Baseline,RL,0
C002,89,-51.4,68.16,85.4,Baseline,RL,0
C002,90,-75.67,-4.19,75.8,Baseline,RL,1
C002,91,-23.07,-56.36,60.9,Baseline,RL,0
C002,92,-22.37,32.06,39.1,Baseline,RL,0
C002,93,-40.25,18.78,44.4,Baseline,RL,1
C002,94,-8.97,57.35,58,Baseline,RL,0
C002,95,100,100,141.4,Baseline,RL,0
C002,96,-25.79,-64.73,69.7,Baseline,RL,0
C002,97,70.94,38.13,80.5,Baseline,RL,0
C002,98,-21.58,-20.17,29.5,Baseline,RL,1
C002,99,-26.43,-59.29,64.9,Baseline,RL,0
C002,100,17.09,47.7,50.7,Baseline,RL,0
C002,101,100,100,141.4,Baseline,RL,0
C002,102,36.86,17.53,40.8,Baseline,RL,1
C002,103,-1.72,-17.58,17.7,Baseline,RL,1
C002,104,10.86,48.22,49.4,Baseline,RL,0
C002,105,100,100,141.4,Baseline,RL,0
C003,1,-28.79,14.98,32.5,Baseline,RL,1
C003,2,-88.91,40.11,97.5,Baseline,RL,0
C003,3,31.17,-65.39,72.4,Baseline,RL,0
C003,4,32.88,5.46,33.3,Baseline,RL,1
C003,5,-22.54,65.08,68.9,Baseline,RL,0
C003,6,43.54,-32.92,54.6,Baseline,RL,0
C003,7,37.54,-70.79,80.1,Baseline,RL,0
C003,8,0.9,67.05,67.1,Baseline,RL,0
C003,9,18.8,-64.84,67.5,Baseline,RL,0
C003,10,12.83,-17.04,21.3,Baseline,RL,1
C003,11,100,100,141.4,Baseline,RL,0
C003,12,2.72,-65.98,66,Baseline,RL,0
C003,13,34.04,12.22,36.2,Baseline,RL,1
C003,14,-22.71,-53.67,58.3,Baseline,RL,0
C003,15,22.1,-45.11,50.2,Baseline,RL,0
C003,16,14.05,-86.9,88,Baseline,RL,0
C003,17,0.64,-98.28,98.3,Baseline,RL,0
C003,18,45.77,-34.83,57.5,Baseline,RL,0
C003,19,17.99,-26.91,32.4,Baseline,RL,0
C003,20,15.03,-23.89,28.2,Baseline,RL,1
C003,21,4.66,-50.24,50.5,Baseline,RL,0
C003,22,5.97,-83.97,84.2,Baseline,RL,0
C003,23,15.82,66.53,68.4,Baseline,RL,0
C003,24,14.83,-49.31,51.5,Baseline,RL,0
C003,25,24.02,-13.64,27.6,Baseline,RL,1
C003,26,-8.31,-37.36,38.3,Baseline,RL,0
C003,27,26.85,-26.27,37.6,Baseline,RL,0
C003,28,39.34,-42.73,58.1,Baseline,RL,0
C003,29,19.73,-46.73,50.7,Baseline,RL,0
C003,30,21.47,-28.04,35.3,Baseline,RL,0
C003,31,8.89,-28.13,29.5,Baseline,RL,0
C003,32,47.65,-57.7,74.8,Baseline,RL,0
C003,33,19.52,16.86,25.8,Baseline,RL,1
C003,34,-17.7,-44.5,47.9,Baseline,RL,0
C003,35,11.53,-23.13,25.8,Baseline,RL,1
C003,36,20.6,4.47,21.1,Baseline,RL,1
C003,37,-12.69,-2.44,12.9,Baseline,RL,1
C003,38,-7.16,3.72,8.1,Baseline,RL,1
C003,39,-10.66,-7.52,13,Baseline,RL,1
C003,40,12.51,16.2,20.5,Baseline,RL,1
C003,41,-4.58,-42.46,42.7,Baseline,RL,0
C003,42,-3.19,34.71,34.9,Baseline,RL,0
C003,43,20.74,-36.49,42,Baseline,RL,0
C003,44,3.1,-13.99,14.3,Baseline,RL,1
C003,45,-44.24,-37.01,57.7,Baseline,RL,0
C003,46,-4.14,61.53,61.7,Baseline,RL,0
C003,47,-22.16,-16.75,27.8,Baseline,RL,1
C003,48,-4.4,-42.81,43,Baseline,RL,0
C003,49,-18.34,-2.7,18.5,Baseline,RL,1
C003,50,23.06,-37.27,43.8,Baseline,RL,0
C003,51,15.59,-79.59,81.1,Baseline,RL,0
C003,52,11.33,-61.48,62.5,Baseline,RL,0
C003,53,3.62,-49.92,50.1,Baseline,RL,0
C003,54,20.31,-12.31,23.7,Baseline,RL,1
C003,55,38.96,36.8,53.6,Baseline,RL,0
C003,56,15.76,-24.64,29.2,Baseline,RL,1
C003,57,17.99,-78.75,80.8,Baseline,RL,0
C003,58,4.92,-38.49,38.8,Baseline,RL,0
C003,59,23.06,-6.41,23.9,Baseline,RL,1
C003,60,30.39,-18.92,35.8,Baseline,RL,1
C003,61,5.42,9.26,10.7,Baseline,RL,1
C003,62,10.28,-41.62,42.9,Baseline,RL,0
C003,63,37.22,-15.18,40.2,Baseline,RL,1
C003,64,100,100,141.4,Baseline,RL,0
C003,65,40.61,-67.54,78.8,Baseline,RL,0
C003,66,28.85,-31.84,43,Baseline,RL,0
C003,67,29.03,-17.62,34,Baseline,RL,1
C003,68,28.24,-62.38,68.5,Baseline,RL,0
C003,69,26.91,6.79,27.8,Baseline,RL,1
C003,70,36.21,23.02,42.9,Baseline,RL,1
C003,71,-2.14,-91.75,91.8,Baseline,RL,0
C003,72,100,100,141.4,Baseline,RL,0
C003,73,-24.07,-42.75,49.1,Baseline,RL,0
C003,74,11.7,-24.93,27.5,Baseline,RL,1
C003,75,40.82,-37.99,55.8,Baseline,RL,0
C003,76,-7.82,-56.86,57.4,Baseline,RL,0
C003,77,34.07,-35.59,49.3,Baseline,RL,0
C003,78,-27.23,-22.73,35.5,Baseline,RL,1
C003,79,-4.11,-39.56,39.8,Baseline,RL,0
C003,80,-21.99,47.43,52.3,Baseline,RL,0
C003,81,29.26,-42.73,51.8,Baseline,RL,0
C003,82,23.9,-54.02,59.1,Baseline,RL,0
C003,83,-72.36,-58.92,93.3,Baseline,RL,0
C003,84,19.47,-15.64,25,Baseline,RL,1
C003,85,13.04,-98.22,99.1,Baseline,RL,0
C003,86,1.39,-71.87,71.9,Baseline,RL,0
C003,87,-0.06,41.27,41.3,Baseline,RL,0
C003,88,43.48,-54.97,70.1,Baseline,RL,0
C003,89,34.68,-74.45,82.1,Baseline,RL,0
C003,90,18.16,-37.27,41.5,Baseline,RL,0
C003,91,10.89,-47.95,49.2,Baseline,RL,0
C003,92,8.02,-66.09,66.6,Baseline,RL,0
C003,93,22.83,-49.6,54.6,Baseline,RL,0
C003,94,23.12,-42.32,48.2,Baseline,RL,0
C003,95,-8.84,-10.36,13.6,Baseline,RL,1
C003,96,0.06,18.87,18.9,Baseline,RL,1
C003,97,-4.69,35.99,36.3,Baseline,RL,0
